1803	531.744186047
1804	532.452830189
1805	865.519230769
1806	1053.64
1807	1173.17241379
1808	1628.15151515
1809	743.113207547
1810	1166.34615385
1811	442.846153846
1812	292.173076923
1813	485.807692308
1814	365.181818182
1815	1029.52830189
1816	2042.55769231
1816	1285.1875
1817	1585.28846154
1817	1132.71153846
1818	1661.09615385
1818	1420.40384615
1819	1535.40384615
1819	1403.94339623
1820	1611.11320755
1820	904.462962963
1821	1421.94230769
1821	1247.0
1821	658.98
1822	1081.80769231
1822	167.730769231
1823	583.865384615
1823	110.93877551
1824	903.132075472
1824	66.1509433962
1825	1571.66153846
1825	661.483870968
1825	16.45
1825	914.035714286
1826	1326.2
1826	991.490196078
1826	182.787878788
1827	13.2788461538
1827	722.731707317
1827	236.804878049
1827	355.583333333
1827	1731.09090909
1828	291.9
1828	368.480769231
1828	145.421052632
1829	71.7184466019
1829	1037.23076923
1829	1068.5106383
1830	6.45512820513
1830	11.3269230769
1830	131.403846154
1831	84.2201257862
1831	14.8076923077
1831	161.490566038
1831	3082.0
1831	1278.21621622
1832	122.519230769
1832	71.7586206897
1833	826.0
1835	4810.28301887
1835	2691.2826087
1836	2.42038216561
1836	26.4150943396
1836	4097.21153846
1836	3851.21153846
1836	680.0
1837	239.867924528
1837	7.40384615385
1837	3334.17307692
1837	4800.38
1837	1738.28571429
1838	52.6837606838
1838	125.211538462
1838	7245.86206897
1838	108.0
1839	2.98089171975
1839	53.1923076923
1839	8.90384615385
1839	6394.96
1839	371.875
1839	324.843137255
1839	342.730769231
1840	3.72
1840	18.0731707317
1840	334.2
1840	567.85
1840	1127.45522388
1841	203.544871795
1841	1383.57692308
1841	627.075471698
1841	1871.74025974
1841	406.602564103
1841	24.4509803922
1842	10.475
1842	1.2101910828
1842	144.041666667
1842	7.3137254902
1842	24.7307692308
1842	509.153846154
1842	38.5
1842	166.566037736
1842	833.700636943
1842	499.807692308
1842	233.081632653
1842	156.368421053
1843	4.86
1843	246.961538462
1843	19.4230769231
1843	267.931034483
1843	379.25
1843	141.197916667
1843	51.4272727273
1843	270.019230769
1843	72.4615384615
1843	13.6559485531
1843	227.25
1843	429.085106383
1843	958.5
1843	305.208333333
1844	54.5084745763
1844	186.142857143
1844	24.0384615385
1844	537.022727273
1844	64.3636363636
1844	160.226415094
1844	67.2356687898
1844	621.134615385
1844	1074.09090909
1844	403.891089109
1844	2113.2
1844	524.294117647
1845	20.9529411765
1845	85.6463414634
1845	217.470588235
1845	13.9423076923
1845	135.611111111
1845	1061.3046875
1845	45.320754717
1845	133.1015625
1845	816.038461538
1845	384.657142857
1845	2559.78846154
1845	1209.38461538
1845	3116.08695652
1845	1537.4
1846	43.5806451613
1846	4.92307692308
1846	1851.0
1846	1054.09708738
1846	88.3846153846
1846	62.7362637363
1846	2004.65048544
1846	161.20754717
1846	1355.55
1846	187.815533981
1846	5683.34883721
1846	902.48
1846	2578.21666667
1846	281.98
1847	30.8365384615
1847	1.23076923077
1847	29.1384615385
1847	678.115384615
1847	2.14563106796
1847	1165.86538462
1847	264.076190476
1847	7292.88461538
1847	1323.40909091
1847	3224.44166667
1848	12.93
1848	26.5915492958
1848	3051.0
1848	70.7380191693
1848	1130.93
1848	339.567307692
1848	7431.59574468
1848	3309.81355932
1848	105.176470588
1848	930.938271605
1848	249.927272727
1848	1118.73469388
1848	1924.5
1849	110.990291262
1849	2325.0
1849	97.4807692308
1849	33.3653846154
1849	17.7435897436
1849	829.653846154
1849	117.894230769
1849	6718.92307692
1849	263.270833333
1849	117.166666667
1849	960.868421053
1849	1154.05188679
1849	262.538461538
1850	182.490384615
1850	49.308681672
1850	279.285714286
1850	1798.48076923
1850	280.6
1850	8837.01923077
1850	248.886792453
1850	298.305084746
1850	58.9244604317
1850	140.06122449
1850	3765.0
1851	129.230769231
1851	32.2371794872
1851	284.215686275
1851	2535.5
1851	1781.43809524
1851	8947.96153846
1851	63.8269230769
1851	68.05
1851	2952.5
1851	4.10402684564
1851	2385.33333333
1851	798.833333333
1852	417.529411765
1852	28.7412140575
1852	212.631067961
1852	1309.18446602
1852	9335.12
1852	117.527272727
1852	20.9840764331
1852	469.935064935
1853	15.0707395498
1853	1277.0
1853	536.914285714
1853	9078.81132075
1853	11.6932907348
1853	55.320754717
1853	1657.53846154
1854	132.826484018
1854	194.107843137
1854	8197.09803922
1854	221.636363636
1854	154.450980392
1854	1293.16
1854	45.7872340426
1855	1.63066202091
1855	3.0608974359
1855	33.4675324675
1855	378.0
1855	6733.15384615
1855	31.6470588235
1855	33.1320754717
1855	264.980830671
1856	1.33876221498
1856	301.54676259
1856	5340.51923077
1856	69.1276595745
1856	456.78021978
1856	75.0408163265
1856	947.653846154
1857	3.82178217822
1857	95.5986842105
1857	4180.57692308
1857	240.759259259
1857	33.4792332268
1857	121.393939394
1857	31.9444444444
1857	914.038461538
1858	1516.96688742
1858	57.5185185185
1858	44.7902439024
1858	906.538461538
1859	414.72972973
1859	722.561290323
1859	395.942307692
1859	52.8167539267
1859	1487.74074074
1860	411.357142857
1860	1239.80666667
1860	40.5
1860	4.56129032258
1860	1.55769230769
1860	3240.66666667
1860	266.416666667
1860	27.8360128617
1860	358.538461538
1860	14.8740740741
1860	16.8125
1860	3046.0
1861	161.464052288
1861	153.807692308
1861	1.86173633441
1861	32.3290734824
1861	3979.08
1861	751.4375
1861	33.0576923077
1861	240.826923077
1861	3941.05882353
1861	403.333333333
1861	33.1739130435
1862	5.36741214058
1862	1.62057877814
1862	3311.86538462
1862	43.5723472669
1862	1.6862745098
